"Region","LifeExp","LifeExpStd"
"Western Europe",73.0330952380952,0.788080192922136
"North America and ANZ",72.325,2.7584717991429
"East Asia",71.2521666666667,5.19423759243516
"Central and Eastern Europe",68.3384117647059,1.90900307945088
"Latin America and Caribbean",67.07605,3.21919215879748
"Middle East and North Africa",65.6091176470588,3.76367267244299
"Commonwealth of Independent States",65.0095,1.16746691601947
"Southeast Asia",64.8884444444444,5.6639484044064
"South Asia",62.681,5.98194202022498
"Sub-Saharan Africa",56.0308571428571,3.791135288157
